Intersection,Latitude,Longitude,District,County,AnnualEst,logAnnualEst,PopT,WalkComT,HseHldT,PrincArt,MinorArt,Collector,Int4way,SchoolsT,Signal,MaxSlope,EmpSF_T,EmpT,StMetersT,StSegT
Moulton Pkwy & El Toro Rd,33.6100068,-117.7252111,12,Orange,76713,11.24782648,116.5466439,1.018368386,67.18541329,2,0,0,1,0,1,0.032,45000,57,6009.409715,58
SR-57 NB Ramp & Imperial Hwy,33.910791,-117.882519,12,Orange,14942,9.611931385,113.9792067,0.651479008,37.4495764,0,0,0,0,0,0,0.0402,216250,435,11733.99554,169
Valley View St & Katella Ave,33.8028862,-118.0284207,12,Orange,75861,11.23665801,84.33866824,0.435346495,27.67719008,2,0,0,1,0,1,0.0068,27500,228,9790.479085,98
Crown Valley Pkwy/Monarch Bay Dr & Pacific Coast Hwy,33.4867829,-117.7272261,12,Orange,30441,10.3235457,109.9002793,1.458568984,45.09241475,2,0,0,1,0,1,0.0431,73750,191,10498.98736,73
Golden Lantern St & Del Prado Ave,33.4656411,-117.6973218,12,Orange,125419,11.73941542,43.70508882,0,22.77292835,1,1,0,1,0,1,0.0565,220000,303,12609.5077,207
Golden Lantern St & Pacific Coast Hwy,33.4672584,-117.6980223,12,Orange,152208,11.93300329,296.1614058,13.10384427,122.3822542,2,0,0,1,0,1,0.0479,488750,583,14414.17459,194
Harbor Blvd & Orangethorpe Ave,33.8594085,-117.9243605,12,Orange,796189,13.58759188,367.0469728,4.797818673,112.2549791,1,0,0,1,0,1,0.0062,743750,603,5135.602394,40
State College Blvd & Orangethorpe Ave,33.8596914,-117.8893633,12,Orange,204597,12.22879747,45.34025727,0.340264595,8.995745227,2,0,0,1,0,1,0.0061,136250,369,4604.714783,29
SR-57 SB Ramps & Katella Ave,33.805907,-117.882441,12,Orange,57471,10.95903577,78.02348047,0,26.72321514,0,0,0,0,0,0,0.0128,485000,637,12093.2246,124
Valley View St & SR-22 WB Ramp,33.77626,-118.035892,12,Orange,2298,7.739794894,225.6480026,0,74.23925309,0,0,0,0,0,1,0.0374,471250,380,13810.11587,124
Harbor Blvd & SR-22 WB Ramps,33.768461,-117.920484,12,Orange,403447,12.90780041,325.6914408,4.610072999,81.46239507,0,0,0,0,0,0,0.0129,46250,92,13763.04738,143
Beach Blvd & I-405 SB Ramp,33.731152,-117.989216,12,Orange,181608,12.1096058,151.0278604,1.70694028,70.28878161,0,0,0,0,0,0,0.0029,30000,109,13319.39776,158
Beach Blvd & Adams Ave,33.6721378,-117.9884712,12,Orange,59769,10.99824243,331.4933653,5.568660593,131.9080945,1,1,0,1,0,1,0.046,197500,204,10088.14547,119
Beach Blvd & Pacific Coast Hwy,33.6485162,-117.9883048,12,Orange,339079,12.7339884,120.1286434,0.955330391,51.72642245,1,0,0,1,0,1,0.01,48750,26,4821.62424,56
Beach Blvd & Warner Ave,33.7157099,-117.9889834,12,Orange,314941,12.6601406,483.7972909,3.136221611,140.6274875,2,0,0,1,1,1,0.0107,1173750,1665,8709.755963,91
Pacific Coast Highway & Main Street,33.6571811,-118.0019859,12,Orange,1521264,14.23505213,184.6502909,8.451655104,101.7873245,1,0,0,1,0,1,0.0476,1303750,1993,7689.143989,103
Pacific Coast Highway & Bayside Drive,33.6161769,-117.9008825,12,Orange,81096,11.30338893,91.8554728,0.476808209,53.46880547,1,1,0,1,0,1,0.0079,221250,292,8466.465623,114
Pacific Coast Highway & Marguerite Avenue,33.5962765,-117.8709264,12,Orange,239235,12.38520162,291.5628638,0,137.0590753,1,0,1,1,0,1,0.0321,295000,501,13825.34656,212
Pacific Coast Highway & Newport Coast Drive,33.5831025,-117.8489589,12,Orange,71973,11.18404634,23.06007253,0,8.385035757,1,1,0,0,0,1,0.0203,0,0,5077.967949,39
Pacific Coast Highway & Ocean Avenue,33.8062843,-118.3544306,7,Los Angeles,700511,13.45956535,308.5794583,6.09892398,115.2957085,1,0,0,1,0,0,0.0158,207500,333,10418.04473,92
Pacific Coast Highway & Laguna Avenue,33.5180533,-117.7591678,12,Orange,1573363,14.26872593,26.13784174,0.320594018,13.97412751,1,0,0,0,0,0,0.0942,112500,1651,10302.90923,162
Pacific Coast Highway & Cress Street,33.532433,-117.775776,12,Orange,981324,13.79665796,219.6111664,1.834485948,98.85108485,1,0,0,1,0,1,0.0589,548750,534,7478.32458,92
Pacific Coast Highway & Wesley Drive,33.5139594,-117.755317,12,Orange,195656,12.1841133,25.21165675,0.309233885,13.47895935,1,0,0,1,0,1,0.0465,52500,76,9288.590597,120
Pacific Coast Highway & Niguel Road / Ritz Carlton Drive,33.4757909,-117.7167242,12,Orange,101376,11.52659167,92.33405113,0.465583386,48.8266351,1,1,0,1,0,1,0.0127,12500,183,10964.39958,217
Pacific Coast Highway & Del Obispo Street / Dana Point Harbor Drive,33.4650662,-117.6876348,12,Orange,107806,11.5880886,96.70714015,2.40763651,44.18394846,1,1,0,1,0,1,0.005,40000,76,8378.202836,107
Pacific Coast Highway & Camino Capistrano,33.4415528,-117.6451997,12,Orange,16272,9.69720118,39.59109164,0.050353643,22.93417304,1,1,0,0,0,1,0.0126,18750,90,7800.177164,115
Pacific Coast Highway & Seal Beach Blvd,33.7408751,-118.0954083,12,Orange,75015,11.22544339,122.0880731,5.538917577,49.47122281,2,0,0,1,0,1,0.0238,6250,78,7926.636055,91
Pacific Coast Highway & Avenida Estacion,33.432787,-117.633342,12,Orange,35596,10.47998858,92.11198503,0.792272082,36.49628062,0,0,0,0,0,1,0.0151,22500,58,5124.531773,51
Pacific Coast Highway & 19th Street / Admiralty Drive,33.7207535,-118.0737202,12,Orange,20552,9.930713587,194.2466204,1.4606168,101.5420064,0,0,0,1,0,1,0.0059,56250,97,7140.578727,114
Pacific Coast Highway & Goldenwest Street,33.6682781,-118.0175208,12,Orange,212715,12.26770853,183.1404688,0,76.20727477,2,0,0,0,0,1,0.009,2500,4,9785.009754,77
Pacific Coast Highway & 6th Street,33.6582458,-118.0036458,12,Orange,972174,13.78729008,207.7055376,7.856605776,108.9601417,1,1,0,0,0,1,0.0072,481250,767,8535.092439,106
Pacific Coast Highway & 1st Street,33.6553823,-117.9996686,12,Orange,314436,12.65853584,169.3195228,4.874956743,86.55946824,1,1,0,0,0,0,0.0057,37500,196,5158.998112,72
Pacific Coast Highway & Brookhurst Street,33.63526,-117.9640018,12,Orange,94846,11.46000981,74.02998928,0,27.00149616,2,0,0,0,0,0,0.0061,0,0,6647.280735,62
Pacific Coast Highway & Riverside Avenue,33.6204362,-117.9243084,12,Orange,187536,12.14172611,111.0851109,1.545739873,50.25016243,1,0,1,0,0,1,0.005,1091250,1238,8040.336338,83
Cactus Avenue & B / Footfill and 2nd,34.106756,-117.383499,8,San Bernardino,24559,10.10883371,271.061131,1.149349145,68.87043292,1,1,0,1,0,1,0.0178,2500,17,10154.46428,64
Maple Avenue & Etiwanda Avenue,34.1140237,-117.4053022,8,San Bernardino,191308,12.16163998,184.9171804,0,39.18382855,0,1,0,1,1,0,0.0235,0,120,5865.233432,56
Maple Avenue & Merrill Avenue,34.0922323,-117.4052235,8,San Bernardino,66882,11.11068517,357.0588745,0,92.61077045,0,1,0,1,0,0,0.0093,0,1,5992.784921,55
Orange Avenue & Rialto Avenue,34.0987312,-117.3716209,8,San Bernardino,14124,9.555630828,299.0650569,0,93.72534261,0,1,0,1,0,0,0.0247,96250,682,7213.6479,72
Riverside Avenue & Baseline Road,34.1213522,-117.3704001,8,San Bernardino,395508,12.8879263,345.7801243,0,87.66350311,1,1,0,1,0,0,0.0173,333750,491,6586.077091,46
Riverside Avenue & Etiwanda Avenue,34.1140564,-117.3703781,8,San Bernardino,116227,11.66330046,311.8820286,1.081296419,73.05839566,1,0,1,1,0,0,0.0199,0,0,8486.543212,75
Riverside Avenue & Second Street,34.1024217,-117.3704569,8,San Bernardino,76273,11.2420743,211.429085,2.793569273,48.37285741,1,0,0,1,0,0,0.0322,37500,92,8177.862771,79
Riverside Avenue & Third Street,34.1042302,-117.3702584,8,San Bernardino,64973,11.08172709,211.4290893,2.793569331,48.37285841,1,0,0,1,0,0,0.0145,40000,148,8773.793712,103
Spruce Avenue & Foothill Boulevard,34.1067471,-117.3878109,8,San Bernardino,56501,10.94201363,407.6285156,2.305274812,101.2257462,1,0,0,1,0,1,0.0207,40000,98,10303.90422,61
Liac Avenue & Baseline Road,34.1212868,-117.3791573,8,San Bernardino,418683,12.94486935,352.5862009,0.199537732,81.2832749,0,1,1,1,0,0,0.0188,31250,40,5427.875539,42
Villa Ave,39.524223,-122.208951,3,Glenn,56617,10.94406459,34.22400703,0.424586157,11.05498362,1,1,0,0,1,0,0.0086,52500,132,6760.791377,58
Pacific & Enright,39.524248,-122.207465,3,Glenn,29328,10.286298,68.71068099,0.231360735,21.49408336,1,0,1,1,1,0,0.0117,110000,244,6964.353907,64
US 50  &  Canal Street,38.728192,-120.807568,3,El Dorado,15982,9.679218431,66.89023237,0.950683555,23.25961308,0,0,1,1,0,1,0.0421,83750,152,9001.983605,117
9th  &  B,39.145031,-121.586641,3,Yuba,64519,11.07471505,65.59493804,0.6250282,24.54765635,1,0,0,1,0,1,0.0146,80000,142,10159.33124,123
SR 20-70  &  10th Street,39.146158,-121.586786,3,Yuba,58988,10.98508933,76.90091521,0.755402244,31.66551184,1,1,0,0,0,1,0.0203,78750,133,10076.80535,120
SR 65  &  Main Street,39.008779,-121.423822,3,Yuba,15649,9.65816236,3.218081929,0,1.071972136,1,0,0,1,0,1,0.0212,2500,12,8971.82289,98
SR 65  &  1st Street,39.010671,-121.426982,3,Yuba,58916,10.983868,3.349754093,0,1.112917974,1,0,0,1,0,1,0.0166,11250,115,8217.524421,90
SR 65  &  South Beale Road,39.040703,-121.471624,3,Yuba,444,6.095826815,3.922503143,0,1.263511846,1,0,1,0,0,0,0.0083,0,0,5093.49654,20
SR 20-70  &  SR 70 (B St) / SR 20 (12th St),39.148392,-121.587125,3,Yuba,60832,11.01587126,108.7543489,0.673787554,46.13553033,2,0,0,0,0,1,0.0298,8750,26,8579.657724,96
SR 70  &  14th Street,39.150657,-121.587447,3,Yuba,95396,11.46579194,140.3812128,0.562217991,60.1228249,1,0,0,1,0,1,0.0028,10000,24,7803.630936,85
SR 70  &  16th Street,39.152854,-121.587739,3,Yuba,160626,11.98683397,140.4233946,0.61859577,60.13166342,1,0,0,1,0,0,0.0099,35000,38,6786.734409,69
SR 70  &  17th Street,39.15396,-121.587897,3,Yuba,1479,7.299122139,124.0702671,1.623887014,54.44891593,1,0,0,0,0,0,0.0074,26250,21,5521.085725,54
SR 70  &  18th Street,39.155094,-121.588052,3,Yuba,107248,11.5828992,96.07018749,2.947865967,43.95025503,1,0,1,0,0,1,0.0181,1250,32,6096.110342,51
SR 70  &  24th Street,39.157677,-121.588884,3,Yuba,918,6.82219848,55.82356447,2.473721577,24.97401238,1,1,0,0,0,0,0.0255,0,177,5318.362977,35
E Street  &  14th Street,39.150256,-121.59199,3,Yuba,63082,11.05219076,150.0205095,0.806193861,63.6714392,0,1,1,1,0,1,0.0086,32500,104,7700.939522,83
San Pablo &  Bancroft,37.864617,-122.290711,4,Alameda,258357,12.46209763,475.3780485,16.88000252,195.3158319,1,0,0,1,0,0,0.0162,35000,127,9650.967268,87
IC2,37.733144,-122.404615,4,San Francisco,1315868,14.09000708,577.2027941,9.870873917,147.7452844,0,2,0,1,0,1,0.0319,37500,53,16417.11239,259
IC5,37.732465,-122.40558,4,San Francisco,2540455,14.74785376,576.7752773,4.533327707,151.9253219,0,1,0,1,0,1,0.0161,81250,128,16716.11073,251
IC1,37.731901,-122.404051,4,San Francisco,9996,9.209940392,657.9392896,14.68318943,166.3555625,0,1,0,0,0,1,0,117500,175,16156.82807,212
Mariposa,37.764231,-122.392547,4,San Francisco,48664,10.79269484,245.6613369,9.683847551,101.4468074,0,1,0,1,0,1,0.0012,23750,147,11703.77775,144
L1,37.731428,-122.436628,4,San Francisco,769487,13.55347934,682.6475483,27.09198497,232.7970124,0,0,0,0,0,1,0,30000,60,17262.91322,283
SM-35 & Sharp Park Rd,37.638855,-122.464113,4,San Mateo,39807,10.59179808,332.0607344,2.746038983,101.1035099,1,1,0,1,0,1,0.0891,0,11,10272.51813,82
11th St Mariposa,37.489012,-119.969759,10,Mariposa,60266,11.00652339,2.810624098,0,1.271181136,1,0,0,0,0,0,0.0408,48750,204,8771.629326,86
12 St,37.489623,-119.970373,10,Mariposa,83117,11.32800454,2.800767691,0,1.264739277,1,0,0,1,0,0,0.0515,81250,229,7887.748302,79
US 50  &  SR 49,38.728184,-120.805444,3,El Dorado,14766,9.600082587,67.65488564,0.923794362,23.63464506,2,0,0,1,0,1,0.1215,60000,180,10605.35999,141
140 & 49 Jct,37.483279,-119.963842,10,Mariposa,68848,11.13965647,2.752397116,0,1.23312579,1,1,0,0,0,0,0.0568,125000,225,6989.268006,47
GB_2 WB terminus,34.089668,-118.25926,7,Los Angeles,14754,9.599269579,271.929238,0,114.750139,0,0,0,1,0,0,0.0831,10000,52,10760.12395,133
28th & E,38.579339,-121.466968,3,Sacramento,196341,12.18760823,265.3922553,5.671531751,156.4147037,0,1,0,1,0,0,0.0036,12500,49,12472.96077,117
28th & H,38.576118,-121.468341,3,Sacramento,151265,11.92678855,212.3617435,0,126.6264998,0,1,0,1,0,0,8.00E-04,43750,33,13445.76921,146
28th & J,38.573887,-121.469307,3,Sacramento,372244,12.82730483,94.42581902,0,64.52089586,1,0,0,1,0,1,0.0043,1323750,1087,13005.92389,137
28th & N,38.569542,-121.471324,3,Sacramento,194671,12.17906624,191.5449178,13.53070127,113.9595276,0,1,0,1,0,0,0.012,115000,1519,12877.50192,173
28th & P,38.567235,-121.472139,3,Sacramento,194671,12.17906624,198.9490405,14.56224936,117.7286075,1,0,0,1,0,0,0.0079,58750,95,13123.29822,189
29th & E,38.57897,-121.465595,3,Sacramento,98508,11.49789305,265.4812093,5.661742668,156.4583336,0,2,0,1,0,0,0.0041,38750,75,12610.29864,125
29th & H,38.575783,-121.467011,3,Sacramento,152360,11.93400143,214.195088,0,127.5919493,0,0,1,1,0,0,0.0037,75000,86,13226.92677,154
29th & J,38.573535,-121.467934,3,Sacramento,189137,12.1502269,94.42581543,0,64.52089341,1,0,1,1,0,1,0.0058,1362500,1787,13298.16562,153
29th & N,38.569123,-121.469908,3,Sacramento,315228,12.66105147,192.6927681,13.69062023,114.5438431,0,1,0,1,0,0,0.0046,75000,1446,12612.13936,176
29th & P,38.566833,-121.470788,3,Sacramento,221973,12.31031104,198.9490735,14.56225177,117.728627,0,1,0,1,0,0,0.0081,67500,109,13140.39107,193
30th & E,38.578664,-121.464205,3,Sacramento,74975,11.22491002,259.871259,5.760150182,152.0501256,0,1,1,1,0,0,0.0029,121250,172,11540.942,114
30th & H,38.575414,-121.465638,3,Sacramento,130219,11.77697294,214.7328112,0.105622018,126.7483219,0,1,0,0,0,0,0.0134,233750,326,12577.93861,149
30th & J,38.573166,-121.46656,3,Sacramento,163103,12.00213719,105.0946191,0.125131189,69.04528737,0,0,1,1,0,1,0.0151,745000,1464,13459.23768,157
30th & N,38.568728,-121.468524,3,Sacramento,155211,11.95254077,189.3380824,13.1677072,112.0140504,1,1,0,1,0,1,0.0063,107500,1450,13176.47794,179
30th & P,38.566589,-121.469522,3,Sacramento,210456,12.25703189,195.917386,14.0982443,115.5690664,0,1,0,1,0,0,0.0073,46250,201,12930.81202,185
405 SB Off Ramp to Rosecrans,33.90197,-118.370905,7,Los Angeles,40654,10.61285254,125.407515,1.177629546,43.83815825,0,0,0,0,0,0,0.0185,262500,291,11082.08668,105
M st,40.80387,-124.158592,1,Humboldt,196675,12.1893079,93.31015667,5.53744951,30.66259356,1,0,1,1,0,0,0.0251,217500,360,11205.79154,128
4th & E St,40.802647,-124.167287,1,Humboldt,315852,12.66302903,40.24828535,2.344304579,15.22480951,1,1,0,1,0,1,0.0264,372500,715,12664.30348,153
4th & F St,40.802792,-124.166217,1,Humboldt,370279,12.82201206,40.24828492,2.344304553,15.22480935,1,0,0,1,0,1,0.0392,488750,869,12267.45739,152
4th & G St,40.802948,-124.165142,1,Humboldt,336910,12.72757111,47.53979041,2.783091072,17.34619494,1,0,0,1,0,1,0.0337,427500,891,12136.46119,150
4th & H St,40.803114,-124.164069,1,Humboldt,305314,12.62909604,65.57414438,3.868358229,22.59309713,2,0,0,1,0,1,0.0206,383750,1316,11688.61753,144
4th & I St,40.80325,-124.162915,1,Humboldt,391246,12.8770918,85.12164433,5.044683126,28.28023326,2,0,0,1,0,1,0.0293,280000,1670,11463.42987,139
4th & J St,40.803393,-124.161848,1,Humboldt,393040,12.88166667,93.31015451,5.537449382,30.66259285,1,0,1,1,0,1,0.0293,222500,1428,11305.65391,132
K St,40.803529,-124.160678,1,Humboldt,361435,12.7978375,93.31015723,5.537449543,30.66259374,1,0,0,1,0,0,0.0309,163750,1271,10912.72658,127
L St,40.803719,-124.159654,1,Humboldt,213506,12.27142022,93.31015867,5.537449629,30.66259421,1,0,0,1,0,0,0.0334,230000,941,10895.06788,126
4th & N St,40.803973,-124.157513,1,Humboldt,167903,12.03114172,93.31015823,5.537449603,30.66259407,1,0,0,1,0,0,0.0159,96250,216,10961.20223,126
US 50   &  SR 89 / Lake Tahoe Blvd,38.913447,-120.004596,3,El Dorado,240552,12.39069157,92.16393988,0.612832379,37.3717795,1,1,0,1,0,1,0.009,333750,383,9266.587801,67
4th & P & Myrtle,40.804286,-124.155826,1,Humboldt,131584,11.78740072,93.28686813,5.5160766,30.82320085,1,0,0,0,0,0,0.022,70000,205,10864.82297,128
4th & Q St,40.80473,-124.154767,1,Humboldt,189853,12.15400537,93.19649491,5.433119789,31.44659769,1,0,0,0,0,0,0.0257,86250,197,10535.36155,129
4th & R St,40.804722,-124.153672,1,Humboldt,174627,12.07040756,92.97929801,5.23379065,32.94446005,1,1,0,1,0,0,0.022,153750,251,11024.35818,135
4th & S St,40.804682,-124.152589,1,Humboldt,179228,12.09641402,92.81940241,5.087033629,34.04728208,1,0,0,1,0,0,0.0236,166250,293,12116.09129,141
4th & T St,40.80473,-124.151516,1,Humboldt,78075,11.26542519,92.87514428,5.138182892,33.66292634,1,0,0,1,0,0,0.0251,150000,319,11861.09816,134
4th & U St,40.80473,-124.150411,1,Humboldt,39037,10.57226522,92.8814109,5.143939705,33.6196615,1,0,0,1,0,0,0.0195,142500,282,10825.10616,122
4th & V St,40.804706,-124.149357,1,Humboldt,101020,11.52307381,92.86032369,5.12458738,33.76508477,1,0,0,1,0,1,0.0289,130000,269,10085.53619,107
Pasadena Ave & St&e St,34.125755,-118.154464,7,Los Angeles,4219,8.347353649,257.0423208,0,133.3247735,1,0,0,1,0,0,0.0216,0,3,8529.279707,90
5th & M St,40.803021,-124.158361,1,Humboldt,280278,12.54353725,93.31015676,5.537449515,30.66259358,1,0,1,1,0,0,0.0223,160000,297,12333.32516,140
N St,40.803104,-124.157307,1,Humboldt,297582,12.6034451,93.31016266,5.537449866,30.66259552,1,0,0,1,0,0,0.0234,161250,304,11977.5694,137
5th St,37.484258,-119.96481,10,Mariposa,400263,12.89987711,2.810466639,0,1.271078174,1,0,0,1,0,0,0.0711,165000,369,7723.754318,57
5th Street & Hwy 140,37.25507,-120.997812,10,Merced,25337,10.1400211,118.1430595,4.323857938,42.47554563,1,0,0,1,0,0,0.0089,26250,217,8538.656703,84
5th & A St,40.80119,-124.171321,1,Humboldt,211867,12.263714,40.2482843,2.344304518,15.22480911,1,0,1,1,0,0,0.0268,202500,444,11507.91621,127
B St,40.80132,-124.170249,1,Humboldt,154220,11.94613544,40.24828775,2.344304718,15.22481042,1,0,0,1,0,0,0.0274,182500,721,12180.58116,134
5th & C St,40.801506,-124.169213,1,Humboldt,215219,12.2794114,40.24828531,2.344304576,15.22480949,1,0,0,1,0,0,0.0231,108750,579,12746.14554,145
5th & Commercial,40.800915,-124.173483,1,Humboldt,103799,11.55021163,40.24828513,2.344304566,15.22480943,1,0,0,1,0,0,0.0088,158750,296,9553.703893,106
5th & D St,40.801632,-124.168122,1,Humboldt,214787,12.27740212,40.24828611,2.344304623,15.2248098,1,0,0,1,0,0,0.026,255000,833,12941.712,154
E St,40.801801,-124.16707,1,Humboldt,476164,13.07351761,40.24828555,2.34430459,15.22480959,1,1,0,1,0,1,0.033,340000,610,13358.55078,157
5th & F St,40.801937,-124.166,1,Humboldt,499163,13.12068798,40.24828501,2.344304559,15.22480938,1,0,0,1,0,1,0.05,418750,702,13565.7697,160
5th & G St,40.802093,-124.16493,1,Humboldt,485608,13.093157,47.67203557,2.791049291,17.38467022,1,0,0,1,0,1,0.0385,438750,857,13283.03055,157
5th & H St,40.802294,-124.163854,1,Humboldt,489992,13.10214435,65.93287457,3.889945807,22.69746603,2,0,0,1,0,1,0.0334,462500,1856,12813.61794,153
5th & I St,40.802416,-124.162728,1,Humboldt,562490,13.24012864,84.97445535,5.035825617,28.23741042,2,0,0,1,0,1,0.0252,265000,1650,12554.09169,148
5th & J St,40.802548,-124.161617,1,Humboldt,288137,12.57119134,93.31015507,5.537449415,30.66259303,1,0,1,1,0,1,0.0276,262500,2318,12398.34299,145
5th & K St,40.80272,-124.160534,1,Humboldt,224551,12.32185814,93.31015955,5.537449681,30.6625945,1,0,0,1,0,0,0.03,182500,1388,12605.42342,144
5th & L St,40.802867,-124.159439,1,Humboldt,271240,12.51075932,93.31016106,5.537449771,30.662595,1,0,0,1,0,1,0.0286,262500,1033,12364.77996,140
5th & O St.,40.803297,-124.156213,1,Humboldt,180979,12.10613629,93.30780789,5.535290046,30.67882441,1,0,0,1,0,0,0.0149,66250,165,11768.34607,135
5th & P St,40.803433,-124.155164,1,Humboldt,121206,11.70524686,93.10382663,5.348075371,32.08566505,1,0,0,0,0,0,0.0212,88750,176,11254.15586,131
5th & R St,40.803916,-124.153648,1,Humboldt,158750,11.97508592,92.62133856,4.905245411,35.41334926,1,0,0,1,0,1,0.0211,108750,184,11659.91744,137
5th & S St,40.803951,-124.15261,1,Humboldt,86267,11.36520243,92.17546292,4.496015166,38.48854852,1,0,0,1,1,0,0.0192,137500,253,11858.08366,138
5th & T St,40.803906,-124.151516,1,Humboldt,68036,11.12779227,91.83071974,4.179607082,40.86622553,1,0,0,1,1,0,0.0268,87500,206,10626.29525,125
US 50  &  4th St,38.916198,-120.000009,3,El Dorado,19456,9.875910836,58.40825003,0,21.55906487,1,0,0,0,0,0,0.047,60000,165,8587.098131,69
5th & U St,40.803888,-124.150333,1,Humboldt,31707,10.36429279,91.81424649,4.164490686,40.97981644,1,0,0,0,0,0,0.0483,118750,258,10775.81833,117
5th & V St,40.80388,-124.149357,1,Humboldt,57363,10.95715479,91.80806854,4.158823103,41.02240367,2,0,0,1,0,1,0.0284,37500,98,9862.359703,106
6th St,37.484922,-119.965425,10,Mariposa,764758,13.54731472,2.808716626,0,1.269934446,1,0,0,1,0,0,0.1061,118750,324,8830.870895,68
6th & Broadway,40.799813,-124.175106,1,Humboldt,30270,10.31791244,40.24828451,2.344304529,15.22480919,1,1,0,0,0,1,0.0072,83750,167,8112.836151,87
7th St,37.485586,-119.966023,10,Mariposa,473501,13.06790931,2.789787919,0,1.257563235,1,0,0,1,0,0,0.0866,126250,282,6799.12755,70
8th Street,37.487146,-119.967675,10,Mariposa,239962,12.38823586,2.789365544,0,1.257287171,1,0,0,1,0,0,0.1127,138750,191,8726.053479,90
9th street & D street,37.634451,-120.993816,10,Stanislaus,17338,9.760655961,42.89237161,1.83979054,20.81488513,1,0,0,1,0,0,0.0096,31250,65,6999.740932,69
A St,40.802052,-124.171563,1,Humboldt,194974,12.1806215,40.24828677,2.344304661,15.22481005,1,0,0,1,0,0,0.0156,207500,487,10442.91287,120
Alex&er,40.415917,-120.650756,2,Lassen,104834,11.56013344,81.92620811,3.556815728,36.07995293,1,1,0,0,0,1,0.0303,76250,109,7954.586516,80
Alhambra & E,38.578215,-121.462805,3,Sacramento,145702,11.88931873,235.6088046,3.892598613,125.6648393,0,1,1,1,0,0,0.0035,97500,109,10727.0635,108
Alhambra & H,38.575045,-121.464458,3,Sacramento,368850,12.81814534,222.4391212,0.919484373,122.2511062,0,2,0,1,1,0,0.0029,222500,312,11400.92509,131
Alhambra & J,38.572847,-121.465273,3,Sacramento,583958,13.27758434,178.6067879,0.987333503,100.2201006,1,1,0,1,0,0,0.0032,486250,831,12186.25316,137
Alhambra & N,38.568368,-121.467183,3,Sacramento,500113,13.12258935,166.9165317,8.276099129,92.61926041,0,2,0,1,0,1,0.0023,443750,480,13418.91023,169
Alhambra & P,38.566254,-121.468234,3,Sacramento,329471,12.70524362,165.0331319,9.371314165,93.56927417,1,1,0,1,0,0,0.0116,318750,454,12428.85599,169
Alvarado St & Montrose St 083116n,34.076402,-118.264201,7,Los Angeles,108971,11.59883708,719.7907999,15.06320803,257.426605,1,0,0,0,1,0,0.045,123750,234,10838.88253,134
AMA 49 Industry Blvd1,38.370572,-120.798524,10,Amador,8618,9.061608434,3.622176986,0.020208091,1.848804625,1,0,0,1,0,1,0.0495,113750,163,5044.346957,39
Church St Pine Grove AMA-88,38.413183,-120.658092,10,Amador,40859,10.61788242,6.373688739,0,2.502950325,1,0,0,0,0,0,0.0343,53750,380,4587.870219,32
AMA-49-PM17.22,38.481799,-120.844913,10,Amador,1864,7.530480532,0.737596045,0.014126069,0.298694838,1,0,1,1,0,0,0.0419,12500,25,4868.667695,52
COOKS St&ion,38.526774,-120.433349,3,Amador,9040,9.109414564,0.165648078,0.002453866,0.060425598,1,0,0,0,0,0,0,0,0,5056.658301,7
Ash (139)  &  36,40.415521,-120.648916,2,Lassen,57356,10.95703276,75.3817928,3.806968581,31.72371498,1,0,0,1,0,1,0.0091,125000,239,7694.857628,77
B St,40.802203,-124.170503,1,Humboldt,159732,11.9812527,40.24828585,2.344304608,15.2248097,1,0,0,1,0,0,0.018,210000,543,11469.42419,134
Barlow - 168,37.361289,-118.422961,9,Inyo,8290,9.022805369,34.55501124,0.392537404,13.12702189,0,0,2,1,0,0,0,1250,4,3720.236958,16
US 50  &  3rd St.,38.916845,-119.999035,3,El Dorado,63675,11.06154732,58.44272241,0,21.57034761,1,0,1,1,0,1,0.0335,113750,326,10047.58416,83
Jolly Kone,38.256016,-119.226599,9,Mono,89329,11.40008147,0.045757916,0.000541805,0.011230145,1,0,0,0,2,0,0,78750,292,4784.106057,36
Hawthorne-Broadway,40.789051,-124.1798,1,Humboldt,156999,11.96399472,151.3232474,6.210572149,52.39670818,1,0,0,1,0,0,0.0675,22500,62,7962.846574,64
Henderson & Broadway,40.783064,-124.183552,1,Humboldt,182347,12.11366675,58.88700818,0,19.59471626,1,0,0,1,0,1,0.1042,30000,56,5644.457168,39
Broadway-Mosquito Placerville,38.731058,-120.790097,3,El Dorado,103013,11.54261048,36.3835828,0.124848496,14.70673251,1,1,0,0,0,0,0.0927,246250,442,10522.52876,150
Wabash,40.791496,-124.178365,1,Humboldt,239981,12.38831504,180.991208,9.979531004,64.03268559,1,0,1,1,0,1,0.0348,233750,507,11324.44131,97
Brockman - Line,37.361391,-118.431265,9,Inyo,4369,8.382289658,30.42249767,0.296190659,11.05743924,0,0,2,0,0,0,0,1250,4,5652.577856,45
C St,40.802355,-124.169401,1,Humboldt,217334,12.28919062,40.24828581,2.344304605,15.22480968,1,0,0,1,0,0,0.0172,186250,661,12212.43572,143
CAL 12 PM 6.3 Burson Road,38.183553,-120.89039,10,Calaveras,9081,9.113939708,3.885584618,0,1.483952739,0,1,1,1,0,0,0.0414,8750,33,4719.024218,22
Cal 49 PM 7.72 Cross-walk,38.074867,-120.545074,10,Calaveras,5422,8.598220214,2.262498605,0.029992332,1.007914597,1,0,0,0,0,0,0.0344,38750,56,6826.560808,81
